,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,72
358,72
359,72
360,72
361,72
362,72
363,72
364,72
365,72
366,72
367,72
368,0
369,72
370,72
371,72
372,72
373,72
374,72
375,72
376,72
377,72
378,72
379,72
380,0
381,72
382,72
383,72
384,72
385,72
386,72
387,0
388,0
389,36
390,36
391,203
392,699
393,697
394,501
395,436
396,435
397,0
398,0
399,0
400,62
401,35
402,35
403,35
404,669
405,664
406,663
407,1011
408,1017
409,1016
410,1163
411,1315
412,1315
413,1149
414,1177
415,1176
416,1105
417,1088
418,1094
419,1450
420,1433
421,1436
422,1106
423,1108
424,1481
425,1514
426,1511
427,1453
428,1467
429,1468
430,1516
431,1515
432,1500
433,1430
434,1427
435,1431
436,760
437,764
438,1317
439,1329
440,1352
441,971
442,957
443,959
444,1453
445,1478
446,1456
447,1331
448,1372
449,1289
450,1150
451,1147
452,1668
453,1668
454,1668
455,1668
456,883
457,893
458,2036
459,2038
460,2041
461,1654
462,1539
463,1538
464,1578
465,1723
466,1641
467,1415
468,1418
469,1421
470,1996
471,2039
472,2035
473,1961
474,2134
475,2133
476,1848
477,1847
478,2547
479,2547
480,2510
481,2511
482,1579
483,1574
484,2168
485,2019
486,1940
487,1865
488,1372
489,1371
490,2524
491,2497
492,1850
493,1806
494,1812
495,1612
496,1609
497,1619
498,2228
499,2205
500,2206
501,1785
502,1913
503,2259
504,2145
505,2149
506,1523
507,1523
508,1526
