,0
0,185
1,184
2,48
3,48
4,48
5,48
6,48
7,48
8,48
9,48
10,48
11,47
12,169
13,169
14,169
15,169
16,169
17,169
18,169
19,169
20,169
21,169
22,169
23,169
24,169
25,170
26,169
27,169
28,169
29,169
30,169
31,169
32,169
33,169
34,169
35,169
36,169
37,170
38,169
39,169
40,169
41,169
42,169
43,169
44,169
45,169
46,169
47,169
48,169
49,170
50,169
51,169
52,169
53,169
54,169
55,169
56,169
57,169
58,169
59,169
60,169
61,170
62,169
63,169
64,169
65,169
66,169
67,169
68,169
69,169
70,169
71,169
72,169
73,170
74,169
75,169
76,169
77,169
78,169
79,169
80,169
81,169
82,169
83,169
84,169
85,170
86,169
87,169
88,169
89,169
90,169
91,169
92,169
93,169
94,169
95,169
96,169
97,170
98,169
99,169
100,169
101,169
102,169
103,169
104,169
105,169
106,169
107,169
108,169
109,170
110,169
111,169
112,169
113,169
114,169
115,169
116,169
117,169
118,169
119,169
120,169
121,170
122,169
123,169
124,169
125,169
126,169
127,169
128,169
129,169
130,169
131,169
132,169
133,170
134,169
135,169
136,169
137,169
138,169
139,169
140,169
141,169
142,169
143,169
144,169
145,170
146,169
147,169
148,169
149,169
150,169
151,169
152,169
153,169
154,169
155,169
156,169
157,170
158,169
159,169
160,169
161,169
162,169
163,169
164,169
165,169
166,169
167,169
168,169
169,170
170,169
171,169
172,169
173,169
174,169
175,169
176,169
177,169
178,169
179,169
180,168
181,169
182,168
183,168
184,168
185,168
186,168
187,168
188,168
189,168
190,168
191,168
192,169
193,169
194,169
195,169
196,169
197,169
198,169
199,169
200,169
201,169
202,169
203,169
204,169
205,170
206,169
207,169
208,169
209,169
210,169
211,169
212,169
213,169
214,169
215,169
216,169
217,170
218,169
219,169
220,169
221,169
222,169
223,169
224,169
225,169
226,169
227,169
228,169
229,170
230,169
231,169
232,169
233,169
234,169
235,169
236,169
237,169
238,169
239,169
240,169
241,170
242,169
243,169
244,169
245,169
246,169
247,169
248,169
249,169
250,169
251,169
252,169
253,170
254,169
255,169
256,169
257,169
258,169
259,169
260,169
261,169
262,169
263,169
264,169
265,170
266,169
267,169
268,169
269,169
270,169
271,169
272,169
273,169
274,169
275,169
276,169
277,170
278,169
279,169
280,169
281,169
282,169
283,169
284,169
285,169
286,169
287,169
288,169
289,170
290,169
291,169
292,169
293,169
294,169
295,169
296,169
297,169
298,169
299,169
300,169
301,170
302,169
303,169
304,169
305,169
306,169
307,169
308,169
309,169
310,169
311,169
312,169
313,170
314,169
315,169
316,169
317,169
318,169
319,169
320,169
321,169
322,169
323,169
324,169
325,170
326,169
327,169
328,169
329,169
330,169
331,169
332,169
333,169
334,169
335,169
336,169
337,170
338,169
339,30
340,30
341,30
342,334
343,333
344,334
345,590
346,592
347,592
348,286
349,144
350,2559
351,2203
352,2197
353,2198
354,1771
355,1789
356,2060
357,2035
358,2040
359,2039
360,1998
361,2018
362,1997
363,1240
364,1236
365,2090
366,368
367,369
368,0
369,0
370,0
371,423
372,424
373,234
374,233
375,233
376,233
377,555
378,553
379,555
380,77
381,71
382,219
383,139
384,123
385,1441
386,1438
387,1443
388,254
389,212
390,213
391,214
392,690
393,696
394,477
395,474
396,177
397,175
398,175
399,175
400,219
401,222
402,760
403,703
404,353
405,354
406,354
407,367
408,577
409,573
410,585
411,650
412,674
413,677
414,247
415,252
416,759
417,736
418,1338
419,1277
420,1277
421,1278
422,1155
423,1042
424,1155
425,1069
426,1086
427,1658
428,1889
429,1897
430,1898
431,1429
432,1440
433,1338
434,1340
435,1343
436,872
437,876
438,787
439,769
440,768
441,1172
442,1164
443,1068
444,1108
445,1109
446,1208
447,1278
448,751
449,738
450,824
451,823
452,1433
453,1433
454,1436
455,658
456,873
457,909
458,1106
459,1105
460,291
461,314
462,323
463,748
464,746
465,746
466,747
467,732
468,737
469,801
470,798
471,803
472,580
473,1269
474,1278
475,170
476,170
477,170
478,1254
479,1130
480,1124
481,1789
482,1779
483,1782
484,1445
485,1468
486,1470
487,1601
488,1683
489,1686
490,1678
491,840
492,841
493,138
494,138
495,138
496,296
497,534
498,547
499,737
500,739
501,1768
502,1795
503,360
504,350
505,346
506,166
507,166
508,404
509,403
510,401
511,402
512,866
513,860
514,868
515,91
516,91
517,91
518,91
519,618
520,619
521,413
522,485
523,485
524,484
525,365
526,355
527,282
528,1495
529,1498
530,1495
531,1495
532,931
533,930
534,436
535,378
536,629
537,630
538,628
539,784
540,417
541,411
542,885
543,908
544,899
545,899
546,899
547,715
548,318
549,314
550,312
551,823
552,816
553,814
554,814
555,385
556,106
557,106
558,439
559,439
560,580
561,583
562,1072
563,1117
564,1118
565,622
566,591
567,592
568,591
569,669
570,618
571,621
572,1122
573,1161
574,523
575,508
576,510
577,510
578,510
579,69
580,68
581,502
582,1767
