                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7181,                 2.1999,                 2.4109,                 1.2919,                0.42158,                0.44681,                0.35876,                0.16625,                 0.4334,                0.44354,                 0.3676,                0.14289,                 1.8832,                 2.2544,                 2.3026,                 1.4998,             0.00066298,             0.00066298,             0.00066298
                      2,                 1.7417,                 2.0872,                 1.6544,                 1.3109,                 0.4627,                0.36498,                0.31892,                0.14859,                0.45058,                0.37152,                0.31831,                0.11656,                   1.88,                  2.312,                 2.0545,                 1.5175,              0.0013165,              0.0013165,              0.0013165
                      3,                 1.7361,                 2.0571,                 1.6326,                 1.3224,                 0.4688,                0.38134,                 0.3771,                0.18205,                0.46167,                0.38134,                 0.3592,                0.13911,                 1.8009,                 2.1392,                 1.8905,                 1.4183,              0.0019568,              0.0019568,              0.0019568
                      4,                 1.6958,                 1.9997,                 1.5561,                 1.2864,                 0.4726,                0.45171,                0.42194,                0.20316,                0.49563,                0.45663,                 0.4193,                0.17049,                 1.7838,                 2.1524,                   1.73,                 1.4095,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6807,                 1.9755,                 1.5219,                 1.2734,                0.45384,                0.45289,                0.39765,                0.20953,                0.48516,                0.45008,                0.40972,                0.17711,                 1.6719,                  1.999,                 1.9266,                 1.3632,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5941,                 1.8715,                 1.4531,                 1.2454,                0.51639,                0.49918,                 0.4412,                0.23242,                0.52745,                0.48044,                0.42002,                0.17969,                 1.6926,                 1.9357,                 1.5637,                 1.3949,               0.001901,               0.001901,               0.001901
                      7,                 1.5631,                 1.8478,                 1.3896,                 1.2223,                 0.5791,                  0.509,                0.50759,                0.26576,                0.59213,                0.51391,                0.49529,                0.20276,                 1.6037,                 1.9156,                 1.5542,                 1.3474,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5269,                 1.8424,                 1.3673,                 1.2207,                 0.5515,                0.42666,                0.45935,                0.24482,                0.57196,                0.43044,                0.44623,                0.19765,                 1.5973,                 1.9092,                 1.5348,                 1.3289,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4926,                 1.7708,                 1.3127,                 1.1945,                0.59552,                  0.473,                0.50224,                0.27686,                 0.6529,                0.46487,                0.52291,                0.23763,                 1.5588,                 1.8616,                  1.491,                 1.3173,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4759,                   1.82,                 1.2979,                 1.1804,                0.50668,                 0.5564,                0.50584,                0.26506,                0.50183,                0.55646,                0.49644,                 0.2253,                  1.494,                 1.8473,                 1.4786,                 1.2697,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4496,                 1.7637,                 1.2489,                 1.1756,                0.62074,                0.46809,                0.53277,                0.30745,                0.66044,                0.47954,                0.54871,                 0.2465,                 1.4617,                 1.9075,                 1.3686,                 1.2736,               0.001802,               0.001802,               0.001802
                     12,                 1.4353,                 1.7478,                 1.2395,                 1.1545,                0.60525,                0.48445,                0.53578,                0.29243,                0.59261,                0.47136,                0.51713,                0.23679,                 1.5261,                 1.8457,                 1.4158,                 1.3216,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3907,                 1.7102,                 1.2081,                 1.1474,                0.60256,                 0.5401,                0.56463,                0.31721,                0.60688,                0.53519,                0.55089,                0.26154,                 1.4608,                 1.8509,                 1.2982,                 1.2728,              0.0017624,              0.0017624,              0.0017624
                     14,                  1.386,                  1.674,                 1.1825,                  1.147,                0.60947,                0.55171,                0.56125,                0.31729,                0.62147,                0.53191,                0.55608,                0.26713,                 1.4546,                 1.8214,                 1.3069,                 1.2767,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3668,                 1.6571,                  1.144,                 1.1371,                0.57344,                0.58756,                0.58258,                0.33375,                0.56697,                0.56359,                0.56692,                0.27084,                 1.4343,                 1.8019,                 1.3109,                 1.2378,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3434,                 1.6731,                   1.16,                 1.1194,                0.57876,                0.55318,                0.57323,                0.33038,                0.60558,                0.53272,                0.56433,                0.25694,                 1.4537,                 1.8584,                 1.2776,                 1.2647,               0.001703,               0.001703,               0.001703
                     17,                 1.3475,                 1.6572,                 1.1114,                 1.1271,                0.61839,                0.57447,                0.59059,                0.33161,                0.63436,                0.56222,                0.58951,                0.26621,                 1.4621,                 1.7732,                 1.2866,                 1.2588,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.3287,                 1.6329,                 1.1161,                 1.1237,                 0.5612,                0.53795,                0.52694,                0.29078,                0.55628,                0.51391,                0.52547,                0.24708,                  1.528,                 1.8121,                 1.4232,                 1.3117,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3013,                  1.614,                 1.0755,                 1.1093,                 0.6875,                0.55974,                0.62348,                0.35096,                 0.6841,                0.54828,                0.61214,                0.29066,                 1.4813,                 1.7766,                 1.2255,                 1.3064,              0.0016436,              0.0016436,              0.0016436
