                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4394,                 3.7302,                  3.601,                 1.5563,                0.00972,                    0.7,                0.08772,                0.03948,                0.00578,                    0.2,                0.00511,                 0.0007,                 1.9109,                 4.8699,                 4.0537,                  2.222,                      0,                      0,                      0
                      2,                 1.6784,                 4.0711,                 3.7353,                 1.7432,                0.00972,                    0.7,                0.10456,                0.04193,                0.00581,                    0.2,                0.00521,                0.00072,                 1.8652,                 4.8565,                 4.0134,                 2.2957,             1.6257e-05,             1.6257e-05,             1.6257e-05
                      3,                 1.4813,                 4.2001,                  3.889,                 1.5322,                0.00972,                    0.7,                0.10407,                0.04254,                0.00575,                    0.2,                0.00507,                0.00069,                 1.8165,                 4.6456,                 4.1131,                 2.2618,              3.169e-05,              3.169e-05,              3.169e-05
                      4,                 1.2856,                 3.8242,                 3.5772,                 1.4868,                0.00972,                    0.7,                0.12952,                0.05191,                0.00581,                    0.2,                0.00527,                0.00093,                 1.8511,                 4.6582,                 4.0981,                 2.2906,             4.6297e-05,             4.6297e-05,             4.6297e-05
                      5,                 1.4825,                 5.5647,                 3.7568,                  1.679,                0.00972,                    0.7,                0.17025,                0.06874,                0.00562,                    0.2,                0.00498,                0.00068,                 1.8391,                 4.6297,                 4.1441,                  2.263,             6.0079e-05,             6.0079e-05,             6.0079e-05
                      6,                 1.3052,                 4.1632,                 3.6937,                  1.533,                0.00972,                    0.7,                0.16988,                0.06813,                0.00578,                    0.2,                0.00492,                0.00067,                 1.8557,                 4.6053,                 4.2172,                 2.2392,             7.3035e-05,             7.3035e-05,             7.3035e-05
                      7,                 1.5067,                 4.3176,                 3.7346,                  1.605,                0.00972,                    0.7,                 0.1288,                0.05124,                0.00581,                    0.2,                0.00442,                0.00081,                 1.9008,                 4.5701,                 4.2387,                 2.1938,             8.5167e-05,             8.5167e-05,             8.5167e-05
                      8,                 1.4678,                 4.7023,                 3.7389,                 1.6459,                0.00972,                    0.7,                0.12852,                0.05118,                0.00585,                    0.2,                0.00415,                0.00059,                 1.9584,                 4.5958,                 4.2529,                 2.1313,             9.6473e-05,             9.6473e-05,             9.6473e-05
                      9,                 1.3832,                 4.1705,                 3.4956,                   1.63,                0.03477,                    0.7,                0.50269,                0.21434,                0.00176,                    0.1,                0.00328,                0.00131,                 1.4499,                 4.0215,                 3.8306,                 1.8347,             0.00010695,             0.00010695,             0.00010695
                     10,                 1.2568,                  3.759,                 2.6031,                  1.464,                0.02987,                    0.7,                0.25355,                0.16861,                0.00178,                    0.1,                0.00289,                0.00103,                 1.4829,                 4.1252,                 3.7481,                 1.8433,             0.00011661,             0.00011661,             0.00011661
                     11,                 1.0882,                 2.6066,                 2.2867,                 1.2865,                0.98466,                    0.5,                0.50114,                0.35044,                0.59907,                    0.6,                0.59569,                0.37844,                 1.5454,                 3.3649,                 3.2658,                 1.8972,             0.00012544,             0.00012544,             0.00012544
                     12,                0.95712,                 2.4258,                 2.3853,                 1.2774,                0.97918,                    0.5,                0.52256,                0.30414,                0.97918,                    0.5,                0.53069,                0.26209,                 1.6347,                 3.1943,                 3.6553,                  1.927,             0.00013345,             0.00013345,             0.00013345
                     13,                0.83491,                 2.1328,                 1.5189,                 1.1032,                0.53645,                    0.6,                0.59579,                0.16027,                0.53645,                    0.6,                0.59579,                0.13934,                 1.6833,                 3.1224,                 3.5874,                 2.0381,             0.00014063,             0.00014063,             0.00014063
                     14,                0.90711,                 2.1971,                 1.3698,                 1.2112,                 0.4372,                    0.6,                 0.5244,                0.16857,                 0.4372,                    0.6,                 0.5244,                0.12097,                 1.8558,                 3.1476,                 3.4926,                 2.1486,             0.00014698,             0.00014698,             0.00014698
                     15,                0.92629,                 1.7672,                 1.5185,                 1.0839,                0.81823,                    0.6,                0.60031,                0.49803,                0.81823,                    0.6,                0.59801,                0.54694,                 2.0896,                 3.0123,                 3.0136,                 1.9769,             0.00015251,             0.00015251,             0.00015251
                     16,                0.78778,                 1.5931,                 1.1666,                 1.1099,                0.88138,                    0.6,                0.59848,                0.49339,                0.88138,                    0.6,                0.59848,                 0.5371,                 2.0988,                 3.1711,                  2.699,                  1.952,             0.00015722,             0.00015722,             0.00015722
                     17,                 1.0209,                 2.1819,                 1.3612,                 1.2622,                0.89679,                    0.6,                0.59773,                0.48635,                0.89679,                    0.6,                0.59773,                0.52506,                 2.1599,                 3.3752,                  2.615,                 1.8869,              0.0001611,              0.0001611,              0.0001611
                     18,                 0.8613,                 1.6379,                  1.129,                 1.1192,                0.89679,                    0.6,                0.59773,                0.48635,                0.89679,                    0.6,                0.59773,                0.52506,                 2.1599,                 3.3752,                  2.615,                 1.8869,             0.00016415,             0.00016415,             0.00016415
                     19,                 0.9148,                  1.906,                 1.1437,                 1.0895,                0.48448,                    0.6,                0.52738,                0.46031,                0.67986,                    0.6,                0.60538,                0.52599,                 2.0625,                 3.2173,                 3.9188,                 1.9112,             0.00016638,             0.00016638,             0.00016638
                     20,                0.87419,                 1.6603,                  1.126,                 1.1397,                0.48448,                    0.6,                0.52738,                0.46031,                0.67986,                    0.6,                0.60538,                0.52599,                 2.0625,                 3.2173,                 3.9188,                 1.9112,             0.00016779,             0.00016779,             0.00016779
                     21,                0.80259,                 1.4075,                 1.1092,                 1.0975,                0.64072,                    0.6,                0.55562,                0.51487,                0.64072,                    0.6,                0.60437,                0.52525,                 1.9456,                 3.3607,                 3.5419,                 1.8289,             0.00016837,             0.00016837,             0.00016837
                     22,                0.94404,                 1.7194,                 1.1624,                  1.078,                0.64072,                    0.6,                0.55562,                0.51487,                0.64072,                    0.6,                0.60437,                0.52525,                 1.9456,                 3.3607,                 3.5419,                 1.8289,             0.00016812,             0.00016812,             0.00016812
                     23,                0.70427,                   1.33,                0.82342,                 1.0145,                0.82139,                    0.6,                  0.597,                0.37089,                0.82139,                    0.6,                0.59569,                0.47849,                 2.1191,                 3.6484,                 3.0067,                 1.8694,             0.00016705,             0.00016705,             0.00016705
                     24,                0.66643,                 1.2497,                0.94647,                 0.9568,                0.82139,                    0.6,                  0.597,                0.37089,                0.82139,                    0.6,                0.59569,                0.47849,                 2.1191,                 3.6484,                 3.0067,                 1.8694,             0.00016515,             0.00016515,             0.00016515
                     25,                0.80175,                 1.5676,                 1.0493,                 1.0089,                0.93752,                    0.7,                0.69971,                0.38291,                0.69006,                    0.6,                0.56763,                0.45586,                 2.0488,                 3.8131,                 2.6953,                 1.8305,             0.00016243,             0.00016243,             0.00016243
                     26,                0.69462,                 1.0637,                0.80575,                0.98473,                0.93752,                    0.7,                0.69971,                0.38291,                0.69006,                    0.6,                0.56763,                0.45586,                 2.0488,                 3.8131,                 2.6953,                 1.8305,             0.00015889,             0.00015889,             0.00015889
                     27,                0.78323,                 1.3937,                0.86888,                 1.0236,                0.94294,                    0.7,                0.70044,                0.40257,                0.70087,                    0.6,                0.56345,                0.45702,                 1.9486,                 4.0837,                 2.5223,                 1.7783,             0.00015451,             0.00015451,             0.00015451
                     28,                 0.8309,                 1.5028,                0.93351,                 1.0508,                0.94294,                    0.7,                0.70044,                0.40257,                0.70087,                    0.6,                0.56345,                0.45702,                 1.9486,                 4.0837,                 2.5223,                 1.7783,             0.00014932,             0.00014932,             0.00014932
                     29,                 0.8408,                 1.5576,                0.85161,                 1.0203,                0.94034,                    0.7,                0.69746,                0.49619,                0.47257,                0.59592,                0.53832,                0.50422,                 1.7566,                 3.9633,                 2.5053,                 1.6638,              0.0001433,              0.0001433,              0.0001433
                     30,                0.69506,                 1.0272,                0.81382,                0.99727,                0.94034,                    0.7,                0.69746,                0.49619,                0.47257,                0.59592,                0.53832,                0.50422,                 1.7566,                 3.9633,                 2.5053,                 1.6638,             0.00013645,             0.00013645,             0.00013645
                     31,                0.93679,                 1.7713,                 1.6537,                 1.0638,                0.95629,                    0.7,                0.69784,                0.53403,                0.46331,                0.59011,                0.53345,                0.50314,                 1.9284,                 4.0022,                  2.201,                 1.6785,             0.00012878,             0.00012878,             0.00012878
                     32,                0.85537,                 1.4722,                 1.1494,                 1.1495,                0.95629,                    0.7,                0.69784,                0.53403,                0.46331,                0.59011,                0.53345,                0.50314,                 1.9284,                 4.0022,                  2.201,                 1.6785,             0.00012028,             0.00012028,             0.00012028
                     33,                0.94461,                 1.5133,                  1.122,                 1.1091,                0.60145,                0.69345,                0.60051,                  0.474,                0.60145,                0.69345,                0.60026,                0.50972,                 2.0869,                 4.1624,                 1.9726,                 1.6704,             0.00011096,             0.00011096,             0.00011096
                     34,                 1.1456,                 1.7414,                 1.5114,                 1.3237,                0.60145,                0.69345,                0.60051,                  0.474,                0.60145,                0.69345,                0.60026,                0.50972,                 2.0869,                 4.1624,                 1.9726,                 1.6704,             0.00010081,             0.00010081,             0.00010081
                     35,                 1.2554,                 1.5413,                 1.3259,                 1.3595,                 0.9216,                  0.688,                0.70607,                0.54524,                0.92732,                    0.6,                 0.6029,                 0.5122,                 1.8523,                 4.1799,                 1.8835,                 1.6021,             8.9835e-05,             8.9835e-05,             8.9835e-05
                     36,                 1.0192,                 1.9714,                 1.4056,                 1.1559,                 0.9216,                  0.688,                0.70607,                0.54524,                0.92732,                    0.6,                 0.6029,                 0.5122,                 1.8523,                 4.1799,                 1.8835,                 1.6021,             7.8036e-05,             7.8036e-05,             7.8036e-05
                     37,                0.81851,                 1.8813,                 1.1223,                 1.0344,                0.94285,                0.69636,                0.71607,                0.54589,                0.92501,                    0.6,                0.60251,                0.51088,                 1.9846,                 4.2548,                 1.9145,                 1.7376,             6.5413e-05,             6.5413e-05,             6.5413e-05
                     38,                0.95049,                 1.6338,                 1.2071,                 1.1681,                0.94285,                0.69636,                0.71607,                0.54589,                0.92501,                    0.6,                0.60251,                0.51088,                 1.9846,                 4.2548,                 1.9145,                 1.7376,             5.1965e-05,             5.1965e-05,             5.1965e-05
                     39,                 1.0601,                 1.4742,                 1.2066,                 1.2481,                  0.949,                    0.7,                0.72335,                0.55117,                  0.949,                    0.7,                0.71373,                0.52587,                 1.9778,                 4.2557,                 2.0046,                 1.7744,             3.7691e-05,             3.7691e-05,             3.7691e-05
                     40,                0.91699,                  1.717,                 1.0912,                 1.1557,                  0.949,                    0.7,                0.72335,                0.55117,                  0.949,                    0.7,                0.71373,                0.52587,                 1.9778,                 4.2557,                 2.0046,                 1.7744,             2.2592e-05,             2.2592e-05,             2.2592e-05
